Hindi,English
???????? (pr?vdh?n),Provision (pr?vdh?n)
???? (pac?s),Fifty (pac?s)
?????? (n?grik),Citizens (n?grik)
????? (nehr?),Nehru (nehr?)
??? (den),Then (den)
????? (girne),Falling (Girne)
???? (gahre),Deep (gahre)
??????? (upany?s),Novel (upany?s)
????? (il?ke),Area (il?ke)
??????? (?ntarik),Internal (?ntarik)
??????????? (hindust?n),Hindustan (hindust?n)
???? (sansad),Parliament (Sansad)
???????? (sv?k?ti),Acceptance (sv?k?ti)
?????? (sampark),Contact (sampark)
?????? (vibh?jan),Partition (vibh?jan)
????? (lau?ne),Return (lau?ne)
????? (y?rop),Europe (y?rop)
??? (mañc),Forums (mañc)
????? (bh?gya),Destiny (bh?gya)
???? (behad),Extremely (behad)
?????? (bul?y?),Call (bul?y?)
??? (p?e),Found (p?e)
?????????? (prayog??l?),Laboratory (prayog??l?)
???????? (pram??it),Certified (pram??it)
?????????? (prabh?v??l?),Impressive (prabh?v??l?)
??? (j?t),Win (j?t)
??????? (j?navrõ),Animals (j?navrõ)
?????? (gusse),Angry (gusse)
????? (gardan),Neck (gardan)
???? (gur?),Guru (gur?)
?????? (adhiktam),Max (adhiktam)
?????? (s???i),Creation (s???i)
??????? (?ik?it),Educate (?ik?it)
??? (?ahad),Honey (?ahad)
??? (varan),But (Varan)
??? (rom),Rome (Rom)
??? (badan),Body (badan)
???? (phail?),Spread (phail?)
???? (phe?k),Throw (phe?k)
?????? (pich?e),Backward (pich?e)
??????? (pari?ram),Labor (pari?ram)
???????? (pariv?rõ),Families (pariv?rõ)
??????? (paribh???),Definition (paribh???)
?????????? (pr?rambhik),Early (pr?rambhik)
??????? (puru?õ),Men (puru?õ)
???????? (nir?k?a?),Inspection (nir?k?a?)
??? (d?s),Das (d?s)
??? (dev),Dev (dev)
???? (t?kat),Strength (t?kat)
????? (tantra),Tantra (tantra)
???????? (tatk?l?n),Then (tatk?l?n)
????? (takn?k),Tech (takn?k)
????? (cal?ne),Run (cal?ne)
??? (ga?han),Formation (ga?han)
??????? (anubh?ti),Cognition (anubh?ti)
???????? (hinduõ),Hindus (hinduõ)
????? (hind?),Hindu (hind?)
??????? (h?l??ki),However (h?l?ki)
??????? (s?m?hik),Collective (s?m?hik)
??????? (sark?rõ),Governments (sark?rõ)
??????? (sãyantra),Plant (sãyantra)
????? (sundar),Beautiful (Sundar)
???? (s?jan),Creation (s?jan)
???? (vais?),So (vais?)
????? (l?vn?),Lavani (l?vn?)
??????? (lak?a?õ),Symptoms (lak?a?õ)
??????? (r?hulj?),Is She (r?hulj?)
???? (yuv?),Young (yuv?)
?????? (m?rti),Murthy (m?rti)
??? (ber),Plum (ber)
?????? (p???u),Pandu (p???u)
?????? (dhrupad),Dhrupad (Dhrupad)
?????? (tathyõ),Facts (tathyõ)
??? (?her),Stack (?her)
????? (j?y?),Go (j?y?)
???????? (granthõ),Texts (granthõ)
???? (ga?it),Mathematics (ga?it)
???????? (kah?niyõ),Stories (kah?niyõ)
???? (a?ok),Ashok (a?ok)
????? (s?bit),Prove (s?bit)
????? (samajhn?),Understanding (samajhn?)
?????? (sañgy?),Noun (sañgy?)
???? (??nt),Cool (??nt)
???????? (?r?la?k?),Sri Lanka (?r?la?k?)
?????? (?ramik),Workers (?ramik)
???? (?art),Condition (?art)
???? (lipi),Script (Lipi)
?????? (m?nv?ya),Human (m?nv?ya)
???????? (pak?iyõ),Birds (pak?iyõ)
?????? (niv?s?),Resident (niv?s?)
????????? (tuln?tmak),Comparative (tuln?tmak)
??? (camak),Brightness (camak)
??? (gol),Round (gol)
???? (kh?kar),Eating (kh?kar)
??? (ko?),Coat (ko?)
??? (iñc),Inch (iñc)
??? (?san),Posture (?san)
????? (akel?),Guy (akel?)
????? (?arm?),Sharma (?arm?)
????????????? (vi?vavidy?lay),University (vi?vavidy?lay)
?????? (vidh?yak),MLA (vidh?yak)
????? (varm?),Verma (varm?)
????? (vaidya),Physician (Vaidya)
????????? (r?jasth?n?),Rajasthani (r?jasth?n?)
????? (m?nn?),Believe (m?nn?)
????? (bharp?r),Bumper (bharp?r)
??? (bhagat),Bhagat (Bhagat)
????? (bast?),Basti (bast?)
????? (bai?hne),Seating (bai?hne)
??????? (pratibh?),Talent (pratibh?)
????? (praj?),People (praj?)
?????? (prakop),Outbreak (prakop)
???? (n?yak),Hero (n?yak)
????? (dost),Friends (dost)
?????? (tiv?r?),TI (tiv?r?)
???? (gha??),Watch (gha??)
???? (galt?),Fault (galt?)
?????? (k?rban),Carbon (k?rban)
????? (upc?r),Treatment (upc?r)
???? (?s??),Christian (?s??)
????? (?vedan),Application (?vedan)
???????? (?yurved),Ayurveda (?yurved)
??? (?dar),Respect (?dar)
???????? (aty?c?r),Torture (aty?c?r)
?????? (him?lay),Himalaya (him?lay)
??? (hans),Hans (Hans)
????? (soct?),Thinks (soct?)
???????? (vi?van?th),Vishwanath (vi?van?th)
???? (vetan),Salary (vetan)
????? (mathur?),Mathura (mathur?)
???? (bh?bh?),Law (bh?bh?)
???? (bheje),Replies (bheje)
?????? (by?ro),Bureau (by?ro)
???? (bant?),Paired (bant?)
?????? (pak?õ),Sides (pak?õ)
????? (gharel?),Domestic (gharel?)
???? (ga?n?),Count (ga?n?)
?????? (kahl?t?),Called (kahl?t?)
?????? (kal?vt?),Kalawati (kal?vt?)
???? (karn?),To (karn?)
?????????? (ud?har??rth),Sample (ud?har??rth)
??? (u?),Fly (u?)
???? (?gh?t),Trauma (?gh?t)
???? (haml?),Attack (haml?)
?????????? (vy?vs?yik),Professional (vy?vs?yik)
???????? (lokapriy),Popular (lokapriy)
????? (relve),Railway (relve)
??????? (mi?rit),Mixed (mi?rit)
???? (mah?n),Great (mah?n)
????? (mehnat),Work (mehnat)
?????? (bindu),Point (bindu)
???? (phalta?),"As a result, (phalta?)"
???????? (prophesar),Professor (prophesar)
?????? (praclan),Circulation (praclan)
??? (ausat),Average (ausat)
????? (ek?ek),Suddenly (ek?ek)
???????? (upasthiti),Presence (upasthiti)
?????? (unnati),Advancement (unnati)
??? (?dhe),Half (?dhe)
??? (al?),Ali (al?)
??????? (sarasvat?),Muse (sarasvat?)
????? (samarth),Able (Samarth)
??????? (sambhavta?),Probably (sambhavta?)
?????? (sa?kõ),Roads (sa?kõ)
???????? (vi?e?agya),Expert (vi?e?agya)
??????? (vidroh),Rebellion (vidroh)
??? (v?t),Vata (v?t)
?????? (vyast),Busy (vyast)
???? (l?kar),Bringing (l?kar)
??? (r?v),Rao (r?v)
??????? (yojn?õ),Plans (yojn?õ)
????? (mantra),Mantra (mantra)
????? (bat?ne),Tell (bat?ne)
????? (bat?te),Show (bat?te)
???????? (pra?nõ),Questions (pra?nõ)
????? (pak??),Held (pak??)
??? (no?),Note (no?)
?????? (nivedan),Request (nivedan)
????? (ny?y),Justice (ny?y)
??? (dh?l),Dust (dh?l)
???? (d?ne),Rash (d?ne)
??? (d?n),Dan (d?n)
??????? (dev?ga?h),Devigarh (dev?ga?h)
??? (taral),Liquid (taral)
??????? (koriy??),Korean (koriy??)
???????? (kilom??ar),Kilometers (kilom??ar)
????? (kit?b),Book (kit?b)
????? (k?am?),Sorry (k?am?)
???? (iñjan),Engine (iñjan)
?? (?e),Come (?e)
???? (asphal),Failed (asphal)
????? (halk?),Light (halk?)
???????? (s?vitr?),Savitri (s?vitr?)
????? (sard?r),Sardar (sard?r)
??????? (sagarbhat?),Gestation (sagarbhat?)
??? (?ubh),Good (?ubh)
??? (lahar),Wave (lahar)
???? (lekh?),Accounting (lekh?)
????? (m?sik),Monthly (m?sik)
?????? (madr?s),Madras (madr?s)
???? (ma?gal),Tue (ma?gal)
??? (bhal?),Well (bhal?)
????? (bhejne),Send (bhejne)
??????? (bijl?ghar),Powerhouse (bijl?ghar)
????? (ban?t?),Makes (ban?t?)
?????? (pavitra),Holy (Pavitra)
????? (pari?ad),Council (pari?ad)
??? (pari),Cir (pari)
???? (p?ch?),Asked (p?ch?)
???? (naukar),Lackey (naukar)
??????? (nik?lkar),Removing (nik?lkar)
??????? (n?sikya),Nasiky (n?sikya)
?????? (t?pm?n),C (t?pm?n)
????? (tar?k?),Way (tar?k?)
??? (jh??h),Lies (jh??h)
???? (j?t?),Are (j?t?)
?????? (chu???),Holiday (chu???)
??? (gh??),Ferries (gh??)
???? (gobar),Dung (gobar)
????? (k?mõ),Works (k?mõ)
?????? (ka?m?r),K (ka?m?r)
???? (??c?),High (?c?)
????? (unnat),Advanced (unnat)
???? (?j?d),Azad (?j?d)
????? (?grah),Request (?grah)
?????? (am?tsar),Amritsar (am?tsar)
??? (anu),Anu (Anu)
?????? (adbhut),Amazing (adbhut)
??? (ata?),So (ata?)
????? (sikhõ),Sikhs (sikhõ)
???? (s?dhu),Sage (s?dhu)
????? (sande?),Message (sande?)
????? (likhit),Written (likhit)
??? (lep),Coatings (Lep)
??????? (mary?d?),Limit (mary?d?)
??? (mej),Table (Mej)
??????? (mukhyata?),Mostly (mukhyata?)
????? (bh?jp?),BJP (bh?jp?)
????? (bek?r),Waste (bek?r)
??????? (paid?v?r),Yields (paid?v?r)
??? (n??),Destroy (n??)
???? (dalõ),Parties (dalõ)
????? (j?p?n),Japan (j?p?n)
????? (gop?l),Gopal (gop?l)
???????? (ko?ik?õ),Cells (ko?ik?õ)
????? (k??ne),Cutting (k??ne)
??? (k?d),Sports (k?d)
????? (upde?),Sermons (upde?)
????? (u??n),Flight (u??n)
???????? (antrik?),Space (antrik?)
???? (sahs?),Suddenly (sahs?)
????? (vy?s),Diameter (vy?s)
??????? (mitrõ),Friends (mitrõ)
??? (bhog),Indulgence (bhog)
???? (bul?),Calling (bul?)
?????? (pr?ta?),Weaning (pr?ta?)
???? (pa?h?),Read (pa?h?)
????? (pa?hte),Read (pa?hte)
????? (gho??),Horse (gho??)
???? (guph?),Cave (guph?)
??? (khul),Open (Khul)
????? (khur?k),Dose (khur?k)
?????? (up?yõ),Measures (up?yõ)
???????? (upyogit?),Utility (upyogit?)
???? (il?j),Treatment (il?j)
????? (?v?z),Sound (?v?z)
??? (?l?),Potatoes (?l?)
??? (ha??),Deleted (ha??)
???????? (svastik),Swastika (svastik)
??????? (sam?k??),Review (sam?k??)
??????? (sa?krama?),Infection (sa?krama?)
??????? (saik?õ),Hundreds (saik?õ)
??? (?or),Noise (?or)
???????? (?abd?vl?),Glossary (?abd?vl?)
????? (yaugik),Compound (yaugik)
??? (man?),Refuse (man?)
???? (ma??al),Board (ma??al)
???? (bacne),Avoid (bacne)
???????? (premn?th),Prem (premn?th)
??? (param),Ultimate (param)
???? (nidhi),Fund (Nidhi)
?????? (net?j?),Netaji (net?j?)
?????? (cunaut?),Challenge (cunaut?)
???? (gautam),Gautam (Gautam)
?????? (khi?k?),Window (khi?k?)
??????? (kism?),Strands (kism?)
???? (karte),The (Karte)
???? (ka???),Harvesting (ka???)
??????? (as?dh?ra?),Extraordinary (as?dh?ra?)
????? (smara?),Recall (smara?)
????? (samagra),Overall (samagra)
???? (sun?),Heard (sun?)
?????? (re?iyo),Radio (re?iyo)
?????? (m?m?l?),Minor (m?m?l?)
????? (b?m?r),Ill (b?m?r)
????? (ph?yd?),Benefit (ph?yd?)
??????? (pur??õ),Puranas (pur??õ)
?????????? (prast?võ),Proposals (prast?võ)
???????? (pradh?nt?),Primacy (pradh?nt?)
??????? (pandrah),Fifteen (pandrah)
??? (n?v),Boat (n?v)
????? (tulph),Tulf (tulph)
?????? (tatk?l),Immediate (tatk?l)
????? (jo??),Added (jo??)
??? (c?l),Trick (c?l)
???? (c?he),Mice (c?he)
???? (caln?),Walking (caln?)
???? (g?y?),Sang (g?y?)
??? (gal?),Throat (gal?)
??? (khair),Well (Khair)
????? (kor?),Court (kor?)
????? (kar?n?),To (kar?n?)
????? (kampn?),Company (kampn?)
???? (isne),It (isne)
???? (inko),They (Inko)
???????????? (arthavyavasth?),Economy (arthavyavasth?)
???? (añcal),Lapel (añcal)
????? (halk?),Lighter (halk?)
????????? (suni?cit),Sure (suni?cit)
???? (varn?),Otherwise (varn?)
???????? (buniy?d?),Basic (buniy?d?)
????? (dainik),Daily (Dainik)
????? (ju?e),Connected (ju?e)
??? (ghus),Climbing (ghus)
???? (khul?),Open (khul?)
????? (kum?r),Kumar (kum?r)
?????? (kum???),Kumaon (kum??)
???? (??gan),Patio (??gan)
